geoid,name,B19113001,"B19113001, Error"
05000US06059,"Orange County, CA",124132,1271
16000US0600947,"Aliso Viejo, CA",153877,7230
16000US0602000,"Anaheim, CA",95320,3435
16000US0608100,"Brea, CA",138599,9077
16000US0608786,"Buena Park, CA",101722,4855
16000US0616532,"Costa Mesa, CA",115798,5117
16000US0616580,"Coto de Caza, CA",234861,14397
16000US0617750,"Cypress, CA",131332,6353
16000US0617946,"Dana Point, CA",139567,11549
16000US0625380,"Fountain Valley, CA",127973,5154
16000US0628000,"Fullerton, CA",117295,5673
16000US0629000,"Garden Grove, CA",91469,2600
16000US0636000,"Huntington Beach, CA",136494,4791
16000US0636770,"Irvine, CA",153615,5083
16000US0639114,"Ladera Ranch, CA",203682,11271
16000US0639178,"Laguna Beach, CA",191426,14414
16000US0639220,"Laguna Hills, CA",145202,15068
16000US0639248,"Laguna Niguel, CA",162215,11011
16000US0639259,"Laguna Woods, CA",69405,7735
16000US0639290,"La Habra, CA",96699,4533
16000US0639496,"Lake Forest, CA",147450,7669
16000US0640256,"La Palma, CA",125162,20327
16000US0640526,"Las Flores, CA",197500,33848
16000US0643224,"Los Alamitos, CA",121815,13578
16000US0647430,"Midway City, CA",78807,16992
16000US0648256,"Mission Viejo, CA",153683,8912
16000US0648410,"Modjeska, CA",133125,56161
16000US0651182,"Newport Beach, CA",204236,13137
16000US0652379,"North Tustin, CA",188179,16815
16000US0653980,"Orange, CA",124289,5224
16000US0657526,"Placentia, CA",122310,11020
16000US0659503,"Rancho Mission Viejo, CA",201071,15369
16000US0659587,"Rancho Santa Margarita, CA",179002,10147
16000US0663050,"Rossmoor, CA",212978,30658
16000US0665084,"San Clemente, CA",163968,6224
16000US0668028,"San Juan Capistrano, CA",141663,16201
16000US0669000,"Santa Ana, CA",83689,2813
16000US0670686,"Seal Beach, CA",142717,20576
16000US0671918,"Silverado, CA",98333,46931
16000US0673962,"Stanton, CA",81114,4952
16000US0680210,"Trabuco Canyon, CA",184318,176705
16000US0680854,"Tustin, CA",116749,9458
16000US0682744,"Villa Park, CA",212540,47032
16000US0684550,"Westminster, CA",88407,4626
16000US0685587,"Williams Canyon, CA",,
16000US0686832,"Yorba Linda, CA",165664,6136
